NM_VOTAVEL,NM_MUNICIPIO,NR_ZONA,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,QT_VOTOS
ABDALA HABIB FRAXE JUNIOR,CAAPIRANGA,6,1058,E. E. CARMINA DE CASTRO,1002
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1023,E. M. PROF. SÔNIA MARIA,869
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1090,E. M. INDÍGENA TIKUNA MORUAPU,840
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1040,E. M. MAYARA ABDEL AZIZ,807
ABDALA HABIB FRAXE JUNIOR,CAAPIRANGA,6,1040,E. M. SÃO JORGE,707
ABDALA HABIB FRAXE JUNIOR,CAAPIRANGA,6,1015,E. E. HERMOGENES SARAIVA,667
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1023,E. M. ATANÁZIA FRAZÃO,626
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1180,E. E. MONSENHOR EVANGELISTA DE CEFALÔNIA,582
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1201,E. E. PROF. NILCE ROCHA COELHO,521
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1031,E. M. NOSSA SENHORA DO ROSÁRIO,512
ABDALA HABIB FRAXE JUNIOR,UARINI,60,1023,E. E. ERMANO ESTRADELLI,409
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1104,E. E. POGÜTA,400
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1082,E. E. LAURO DE ALMEIDA CASTELO BRANCO,399
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1040,E. E. CENTRO EDUCACIONAL DOMÊNICO MARZI,398
ABDALA HABIB FRAXE JUNIOR,UARINI,60,1015,E. E. EDSON MELO,394
ABDALA HABIB FRAXE JUNIOR,UARINI,60,1120,E. M. MARIA MARCELINA,370
ABDALA HABIB FRAXE JUNIOR,AMATURÁ,22,1058,E. M. INDÍGENA SANTA FÉ,349
ABDALA HABIB FRAXE JUNIOR,UARINI,60,1104,E. M. DR. CARLOS BRAGA,341
ABDALA HABIB FRAXE JUNIOR,ANAMÃ,6,1015,E. E. TANCREDO NEVES,339
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1074,E. E. SENADOR FÁBIO LUCENA,299
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1066,E. E. GILBERTO MESTRINHO,275
ABDALA HABIB FRAXE JUNIOR,NHAMUNDÁ,43,1023,E. E. PROF. ENERY BARBOSA DOS SANTOS,270
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1031,E. E.  NOSSA SENHORA DAS DORES,267
ABDALA HABIB FRAXE JUNIOR,AMATURÁ,22,1104,E. E. AMATURÁ,264
